"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr2380","Birds (BTO+partners) 2006 - 2010","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2380","","","","53"
"dr2381","Birds (BTO+partners) 2011 - 2015","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2381","","","","25"
"dr2370","Birds (BTO/JNCC/RSPB partnership)","","Records provided by BTO, accessed through NBN Atlas website","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr2370","","","","16"
"dr2382","Birds (BTO+partners) 2016 - 2019","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2382","","","","18"
"dr1236","National Trust Species Records","doi:10.15468/opc6g1","National Trust ([Insert download year]). National Trust Species Records. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0) CC0","For more information:  email gordon.barker@nationaltrust.org.uk, or https://registry.nbnatlas.org/public/show/dr1236","","","","1"
"dr1237","BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84.","doi:10.15468/huodzs","Records provided by BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1237","","","","2"
"dr1311","Tullie House Museum Natural History Collections","doi:10.15468/epewfs","Records provided by Tullie House Museum Natural History Collections, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nature@tulliehouse.co.uk, or https://registry.nbnatlas.org/public/show/dr1311","","","","1"
"dp102","Cumbria Biodiversity Data Centre","","Records provided by Cumbria Biodiversity Data Centre, accessed through NBN Atlas website.","","For more information:  email info@cbdc.org.uk, or https://registry.nbnatlas.org/public/show/dp102","","","","1"
"dr528","Birds (BTO+partners) to 2005","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr528","","","","4"
"dp29","British Trust for Ornithology","","Records provided by British Trust for Ornithology, accessed through NBN Atlas website.","","For more information:  email info@bto.org, or https://registry.nbnatlas.org/public/show/dp29","","","","118"
"dp116","National Trust","","Records provided by National Trust, accessed through NBN Atlas website.","","For more information:  email gordon.barker@nationaltrust.org.uk, or https://registry.nbnatlas.org/public/show/dp116","","","","1"
