"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr2380","Birds (BTO+partners) 2006 - 2010","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2380","","","","6614"
"dr1372","BTO First Atlas of Breeding Birds in Britain and Ireland: 1968-1972.","doi:10.15468/cfigc5","Records provided by BTO First Atlas of Breeding Birds in Britain and Ireland: 1968-1972., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1372","","","","74"
"dr1350","North East Scotland Birds (1883-2010)","doi:10.15468/o1okcz","Records provided by North East Scotland Birds (1883-2010), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1350","","This dataset is only available on the NBN Atlas at 1Km resolution. Users who wish to access data at a higher resolution and/or data relating to sensitive species should contact NESBReC directly. Data searches for commercial purposes will incur a service charge by NESBReC.","","2"
"dr2381","Birds (BTO+partners) 2011 - 2015","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2381","","","","3009"
"dr2382","Birds (BTO+partners) 2016 - 2019","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2382","","","","1908"
"dr1574","ERIC NE Combined dataset to 2017","","Records provided by ERIC NE Combined dataset to 2017, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1574","","ERIC NE Data holdings metadata avaialble at http://www.ericnortheast.org.uk/geisha/assets/images/ERIC-NE-Species-metadata.2.pdf","","46"
"dr1156","BTO Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991.","doi:10.15468/cisnhd","Records provided by BTO Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1156","","","","573"
"dr1310","UK casual records from members of BASC - 1980 onwards","","Records provided by UK casual records from members of BASC - 1980 onwards, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email ian.danby@basc.org.uk, or https://registry.nbnatlas.org/public/show/dr1310","","","","1"
"dp242","World Museum, National Museums Liverpool","","Records provided by World Museum, National Museums Liverpool, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp242","","","","7"
"dr1236","National Trust Species Records","doi:10.15468/opc6g1","National Trust ([Insert download year]). National Trust Species Records. Occurrence dataset on the NBN Atlas","Creative Commons Zero v1.0 (CC0) CC0","For more information:  email gordon.barker@nationaltrust.org.uk, or https://registry.nbnatlas.org/public/show/dr1236","","","","79"
"dr1412","Wildwatch North Pennines AONB project records for Cumbria","doi:10.15468/05h2u8","Records provided by Wildwatch North Pennines AONB project records for Cumbria, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@cbdc.org.uk, or https://registry.nbnatlas.org/public/show/dr1412","","","","20"
"dr1237","BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84.","doi:10.15468/huodzs","Records provided by BTO First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1237","","","","69"
