"rowkey","occurrenceID","eventID","catalogNumber","collectionCode","dcterms:type","dcterms:license processed","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","dcterms:references","taxonID","scientificName processed","scientificNameAuthorship","nomenclaturalStatus","taxonRemarks","identificationRemarks","identifiedBy processed","identificationVerificationStatus","identificationVerificationStatus processed","kingdom","phylum processed","class processed","order processed","family processed","genus processed","specificEpithet","infraspecificEpithet","eventDate processed","eventTime","verbatimEventDate","day processed","month processed","year processed","eventDateEnd processed","endDay processed","endMonth processed","endYear processed","locationID","higherGeographyID","higherGeography","islandGroup","island","countryCode","county","gridreference","verbatimLocality","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","georeferenceVerificationStatus processed","georeferenceRemarks","geologicalContextID","basisOfRecord processed","occurrenceStatus processed","occurrenceRemarks","vitality","dynamicProperties","recordNumber","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","behavior","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","samplingEffort","sampleSizeUnit","measurementDeterminedDate","relationshipAccordingTo","resourceRelationshipID","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","relationshipOfResource","measurementMethod","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","collectionID","datasetID","institutionCode","fieldNotes","eventRemarks","datasetName","ownerInstitutionCode","otherCatalogNumbers","materialSampleID","decimalLatitude processed","decimalLongitude processed","Coordinate uncertainty - processed"
"00338bc2-d1fc-4de1-a610-ee9ff0f0bd3c","113518669",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2019-08-31",,,"31","08","2019",,,,,,,,,,,,"NY3954",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.881576","-2.944516","707.1"
"00eb69fc-f25a-4a4c-add3-2371706fd5de","51679893",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2010-07-02",,,"02","07","2010",,,,,,,,,,,,"SD27",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.165299","-3.150215","7071.1"
"0185cba2-5dae-4e42-a94d-d1c1ea1e63b0","110473780",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2018-04-12",,,"12","04","2018",,,,,,,,,,,,"SD39",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.346383","-3.001427","7071.1"
"03f12803-bf0a-4e8f-b296-97c38485d628","16303060",,,,,"OGL","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2017-06-19",,,"19","06","2017",,,,,,,,,,,,"SD28",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO/JNCC/RSPB partnership)",,,,"54.255154","-3.152715","7071.1"
"05df902e-2db0-49b2-a9df-f487d776c5af","110157347",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2016-06-05",,,"05","06","2016",,,,,,,,,,,,"NY82",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.619921","-2.233809","7071.1"
"06556028-470a-4b89-b4f4-f85651e06ddf","77002252",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2012-01-01",,,"01","01","2012",,,,,,,,,,,,"SD37",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.166665","-2.99708","7071.1"
"077f7aaa-6f02-474b-bb5c-c068b21507bc","85212330",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2013-04-26",,,"26","04","2013",,,,,,,,,,,,"SD28",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.255154","-3.152715","7071.1"
"082fa8fa-aaa5-4375-8a07-5383d5514894","81909988",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2014-05-19",,,"19","05","2014",,,,,,,,,,,,"NY55",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.887707","-2.703026","7071.1"
"09730a04-e44a-4846-9cac-350645ad7a92","112573258",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2017-06-19",,,"19","06","2017",,,,,,,,,,,,"SD39",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.346383","-3.001427","7071.1"
"0a9da0c0-17d4-459e-8a6f-d42c59140194","58337526",,,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530482","Milvus milvus",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Milvus",,,"2010-12-01",,,"01","12","2010",,,,,,,,,,,,"SD27",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.165299","-3.150215","7071.1"
